Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,No,0,Graduate,No,6283,4416,209,360,0,Rural,N
Female,No,0,Graduate,No,645,3683,113,480,1,Rural,Y
Female,No,0,Graduate,No,3159,0,100,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,4865,5624,208,360,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,4050,5302,138,360,,Rural,N
Male,Yes,0,Not Graduate,No,3814,1483,124,300,1,Semiurban,Y
Male,Yes,2,Graduate,No,3510,4416,243,360,1,Rural,Y
Male,Yes,0,Graduate,No,20833,6667,480,360,,Urban,Y
,No,0,Graduate,No,3583,0,96,360,1,Urban,N
Male,Yes,0,Graduate,Yes,2479,3013,188,360,1,Urban,Y
Female,No,1,Graduate,No,13262,0,40,360,1,Urban,Y
Male,No,0,Not Graduate,No,3598,1287,100,360,1,Rural,N
Male,Yes,1,Graduate,No,6065,2004,250,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,3283,2035,148,360,1,Urban,Y
Male,Yes,0,Graduate,No,2130,6666,70,180,1,Semiurban,N
Male,No,0,Graduate,No,5815,3666,311,360,1,Rural,N
Male,Yes,3+,Graduate,No,3466,3428,150,360,1,Rural,Y
Female,Yes,2,Graduate,No,2031,1632,113,480,1,Semiurban,Y
Male,Yes,,Not Graduate,No,3074,1800,123,360,0,Semiurban,N
Male,No,0,Graduate,No,4683,1915,185,360,1,Semiurban,N
Female,No,0,Not Graduate,No,3400,0,95,360,1,Rural,N
Male,Yes,2,Not Graduate,No,2192,1742,45,360,1,Semiurban,Y
Male,No,0,Graduate,No,2500,0,55,360,1,Semiurban,Y
Male,Yes,3+,Graduate,Yes,5677,1424,100,360,1,Rural,Y
Male,Yes,2,Graduate,Yes,7948,7166,480,360,1,Rural,Y
Male,No,0,Graduate,No,4680,2087,,360,1,Semiurban,N
Male,Yes,2,Graduate,Yes,17500,0,400,360,1,Rural,Y
Male,Yes,0,Graduate,No,3775,0,110,360,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,5285,1430,161,360,0,Semiurban,Y
Male,No,1,Not Graduate,No,2679,1302,94,360,1,Semiurban,Y
Male,No,0,Not Graduate,No,6783,0,130,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,1025,5500,216,360,,Rural,Y
Male,Yes,3+,Graduate,No,4281,0,100,360,1,Urban,Y
Male,No,2,Graduate,No,3588,0,110,360,0,Rural,N
Male,No,1,Graduate,No,11250,0,196,360,,Semiurban,N
Female,No,0,Not Graduate,Yes,18165,0,125,360,1,Urban,Y
Male,No,0,Not Graduate,,2550,2042,126,360,1,Rural,Y
Male,Yes,0,Graduate,No,6133,3906,324,360,1,Urban,Y
Male,No,2,Graduate,No,3617,0,107,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,2917,536,66,360,1,Rural,N
Male,Yes,3+,Graduate,No,6417,0,157,180,1,Rural,Y
Female,Yes,1,Graduate,No,4608,2845,140,180,1,Semiurban,Y
Female,No,0,Graduate,No,2138,0,99,360,0,Semiurban,N
Female,No,1,Graduate,,3652,0,95,360,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,2239,2524,128,360,1,Urban,Y
Female,Yes,0,Not Graduate,No,3017,663,102,360,,Semiurban,Y
Male,Yes,0,Graduate,No,2768,1950,155,360,1,Rural,Y
Male,No,0,Not Graduate,No,3358,0,80,36,1,Semiurban,N
Male,No,0,Graduate,No,2526,1783,145,360,1,Rural,Y
Female,No,0,Graduate,No,5000,0,103,360,0,Semiurban,N
Male,Yes,0,Graduate,No,2785,2016,110,360,1,Rural,Y
Male,Yes,2,Graduate,Yes,6633,0,,360,0,Rural,N
Male,Yes,1,Not Graduate,No,2492,2375,,360,1,Rural,Y
Male,Yes,1,Graduate,No,3333,3250,158,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,2454,2333,181,360,0,Urban,N
Male,Yes,0,Graduate,No,3593,4266,132,180,0,Rural,N
Male,Yes,1,Graduate,No,5468,1032,26,360,1,Semiurban,Y
Female,No,0,Graduate,No,2667,1625,84,360,,Urban,Y
Male,Yes,3+,Graduate,Yes,10139,0,260,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,3887,2669,162,360,1,Semiurban,Y
Female,Yes,0,Graduate,No,4180,2306,182,360,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,3675,242,108,360,1,Semiurban,Y
Female,Yes,1,Graduate,Yes,19484,0,600,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,5923,2054,211,360,1,Rural,Y
Male,No,0,Not Graduate,Yes,5800,0,132,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,8799,0,258,360,0,Urban,N
Male,Yes,0,Not Graduate,No,4467,0,120,360,,Rural,Y
Male,No,0,Graduate,No,3333,0,70,360,1,Urban,Y
Male,Yes,3+,Graduate,No,3400,2500,123,360,0,Rural,N
Female,No,0,Graduate,No,2378,0,9,360,1,Urban,N
Male,Yes,0,Graduate,No,3166,2064,104,360,0,Urban,N
Male,Yes,1,Graduate,No,3417,1750,186,360,1,Urban,Y
Male,Yes,,Graduate,No,5116,1451,165,360,0,Urban,N
Male,Yes,2,Graduate,No,16666,0,275,360,1,Urban,Y
Male,Yes,2,Not Graduate,No,6125,1625,187,480,1,Semiurban,N
Male,Yes,3+,Graduate,No,6406,0,150,360,1,Semiurban,N
Male,Yes,2,Graduate,No,3159,461,108,84,1,Urban,Y
,Yes,0,Graduate,No,3087,2210,136,360,0,Semiurban,N
Male,No,0,Graduate,No,3229,2739,110,360,1,Urban,Y
Male,Yes,1,Graduate,No,1782,2232,107,360,1,Rural,Y
Male,No,0,Graduate,,3182,2917,161,360,1,Urban,Y
Male,Yes,2,Graduate,No,6540,0,205,360,1,Semiurban,Y
Male,No,0,Graduate,No,1836,33837,90,360,1,Urban,N
